# TUFS Basic Turkish Wordnet	tur	http://www.coelang.tufs.ac.jp/mt/tr/	CC BY 4.0
15210045-n	tur:lemma	Ocak
03925226-n	tur:lemma	fotoğraf
03925226-n	tur:exe	0	Fotoğrafları zarfın içine koydum.
03925226-n	tur:exe	1	Fotoğrafları zarfın içine koydum.
03925226-n	tur:exe	2	O fotoğrafın negatifi bende.
03925226-n	tur:count	fotoğraf	3
03925226-n	tur:pron	fotoğraf			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1929.mp3	
03931044-n	tur:lemma	fotoğraf
03931044-n	tur:exe	0	Fotoğrafları zarfın içine koydum.
03931044-n	tur:exe	1	Fotoğrafları zarfın içine koydum.
03931044-n	tur:exe	2	O fotoğrafın negatifi bende.
03931044-n	tur:count	fotoğraf	3
03931044-n	tur:pron	fotoğraf			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1929.mp3	
04248607-n	tur:lemma	fotoğraf
04248607-n	tur:exe	0	Fotoğrafları zarfın içine koydum.
04248607-n	tur:exe	1	Fotoğrafları zarfın içine koydum.
04248607-n	tur:exe	2	O fotoğrafın negatifi bende.
04248607-n	tur:count	fotoğraf	3
04248607-n	tur:pron	fotoğraf			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1929.mp3	
15164233-n	tur:lemma	Çarşamba
15164233-n	tur:exe	0	Her Çarşamba günü teyzeme giderim.
15164233-n	tur:count	Çarşamba	1
15164233-n	tur:pron	Çarşamba			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1880.mp3	
11524662-n	tur:lemma	hava
11524662-n	tur:exe	0	Bugün hava açık.
11524662-n	tur:exe	1	Bugün hava ılık.
11524662-n	tur:exe	2	Hava bulutlu.
11524662-n	tur:exe	3	Yarından itibaren hava sıcaklığı artacakmış.    
11524662-n	tur:count	hava	4
11524662-n	tur:pron	hava			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1940.mp3	
07193184-n	tur:lemma	soru
07193184-n	tur:exe	0	Başka sorunuz var mı ?       
07193184-n	tur:exe	1	Öğretmen bize soru sordu.
07193184-n	tur:count	soru	2
07193184-n	tur:pron	soru			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1620.mp3	
07196682-n	tur:lemma	soru
07196682-n	tur:exe	0	Başka sorunuz var mı ?       
07196682-n	tur:exe	1	Öğretmen bize soru sordu.
07196682-n	tur:count	soru	2
07196682-n	tur:pron	soru			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1620.mp3	
05797597-n	tur:lemma	soru
05797597-n	tur:exe	0	Başka sorunuz var mı ?       
05797597-n	tur:exe	1	Öğretmen bize soru sordu.
05797597-n	tur:count	soru	2
05797597-n	tur:pron	soru			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1620.mp3	
07193596-n	tur:lemma	soru
07193596-n	tur:exe	0	Başka sorunuz var mı ?       
07193596-n	tur:exe	1	Öğretmen bize soru sordu.
07193596-n	tur:count	soru	2
07193596-n	tur:pron	soru			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1620.mp3	
01904930-v	tur:lemma	yürü-
01904930-v	tur:exe	0	Buraya kadar yürüyerek mi geldin?
01904930-v	tur:pron	yürü-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1498.mp3	
03383948-n	tur:lemma	çatal
03383948-n	tur:exe	0	Çatalı elinden düştü, ağzı açık kaldı.
03383948-n	tur:count	çatal	1
03383948-n	tur:pron	çatal			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1664.mp3	
08286569-n	tur:lemma	üniversite
08286569-n	tur:exe	0	Üniversitede Türkçe öğreniyoruz.
08286569-n	tur:count	üniversite	1
08286569-n	tur:pron	üniversite			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1609.mp3	
08286163-n	tur:lemma	üniversite
08286163-n	tur:exe	0	Üniversitede Türkçe öğreniyoruz.
08286163-n	tur:count	üniversite	1
08286163-n	tur:pron	üniversite			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1609.mp3	
08278169-n	tur:lemma	üniversite
08278169-n	tur:exe	0	Üniversitede Türkçe öğreniyoruz.
08278169-n	tur:count	üniversite	1
08278169-n	tur:pron	üniversite			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1609.mp3	
01000214-v	tur:lemma	yaz-
01000214-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
01000214-v	tur:exe	1	Deftere bu cümleyi yazın.       
01000214-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
01000214-v	tur:exe	3	Deftere bu cümleyi yaz.                   
01000214-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
01000214-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
01000214-v	tur:exe	6	Kompozisyon yazmam lazım.
01000214-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
02471690-v	tur:lemma	yaz-
02471690-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
02471690-v	tur:exe	1	Deftere bu cümleyi yazın.       
02471690-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
02471690-v	tur:exe	3	Deftere bu cümleyi yaz.                   
02471690-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
02471690-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
02471690-v	tur:exe	6	Kompozisyon yazmam lazım.
02471690-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
01020356-v	tur:lemma	yaz-
01020356-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
01020356-v	tur:exe	1	Deftere bu cümleyi yazın.       
01020356-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
01020356-v	tur:exe	3	Deftere bu cümleyi yaz.                   
01020356-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
01020356-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
01020356-v	tur:exe	6	Kompozisyon yazmam lazım.
01020356-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
01691057-v	tur:lemma	yaz-
01691057-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
01691057-v	tur:exe	1	Deftere bu cümleyi yazın.       
01691057-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
01691057-v	tur:exe	3	Deftere bu cümleyi yaz.                   
01691057-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
01691057-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
01691057-v	tur:exe	6	Kompozisyon yazmam lazım.
01691057-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
01698271-v	tur:lemma	yaz-
01698271-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
01698271-v	tur:exe	1	Deftere bu cümleyi yazın.       
01698271-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
01698271-v	tur:exe	3	Deftere bu cümleyi yaz.                   
01698271-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
01698271-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
01698271-v	tur:exe	6	Kompozisyon yazmam lazım.
01698271-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
01020934-v	tur:lemma	yaz-
01020934-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
01020934-v	tur:exe	1	Deftere bu cümleyi yazın.       
01020934-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
01020934-v	tur:exe	3	Deftere bu cümleyi yaz.                   
01020934-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
01020934-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
01020934-v	tur:exe	6	Kompozisyon yazmam lazım.
01020934-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
00993014-v	tur:lemma	yaz-
00993014-v	tur:exe	0	'Kırmızı ve Siyah'I yazan kimdi?
00993014-v	tur:exe	1	Deftere bu cümleyi yazın.       
00993014-v	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
00993014-v	tur:exe	3	Deftere bu cümleyi yaz.                   
00993014-v	tur:exe	4	İngilizce ve Fransızca bildiğiniz yazıyor.
00993014-v	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
00993014-v	tur:exe	6	Kompozisyon yazmam lazım.
00993014-v	tur:pron	yaz-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1948.mp3	
03822171-n	tur:lemma	gazete
03822171-n	tur:exe	0	Her gün Japonca gazete okuyor.
03822171-n	tur:exe	1	O gazete tüm Türkiye'de okunuyor.
03822171-n	tur:count	gazete	2
03822171-n	tur:pron	gazete			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1528.mp3	
06267145-n	tur:lemma	gazete
06267145-n	tur:exe	0	Her gün Japonca gazete okuyor.
06267145-n	tur:exe	1	O gazete tüm Türkiye'de okunuyor.
06267145-n	tur:count	gazete	2
06267145-n	tur:pron	gazete			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1528.mp3	
14961722-n	tur:lemma	gazete
14961722-n	tur:exe	0	Her gün Japonca gazete okuyor.
14961722-n	tur:exe	1	O gazete tüm Türkiye'de okunuyor.
14961722-n	tur:count	gazete	2
14961722-n	tur:pron	gazete			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1528.mp3	
07197021-n	tur:lemma	sınav
07197021-n	tur:exe	0	Geçen hafta sınavın sonucu belli oldu.
07197021-n	tur:exe	1	Sınavlara hazırlanıyorum.
07197021-n	tur:exe	2	Tatilden önce sınav var.     
07197021-n	tur:exe	3	Sınavdan sonra sinemaya gittik.         
07197021-n	tur:exe	4	Sınavlara daha üç hafta var.
07197021-n	tur:exe	5	Ders, sadece sınav zamanı çalışılmaz!
07197021-n	tur:exe	6	Sınavda kurşun kalem kullanmalısınız.
07197021-n	tur:count	sınav	7
07197021-n	tur:pron	sınav			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1616.mp3	
00158309-r	tur:lemma	tam
00158309-r	tur:exe	0	Tam seni arayacaktım.
00158309-r	tur:count	tam	1
00158309-r	tur:pron	tam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1989.mp3	
00002621-r	tur:lemma	tam
00002621-r	tur:exe	0	Tam seni arayacaktım.
00002621-r	tur:count	tam	1
00002621-r	tur:pron	tam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1989.mp3	
00002950-r	tur:lemma	tam
00002950-r	tur:exe	0	Tam seni arayacaktım.
00002950-r	tur:count	tam	1
00002950-r	tur:pron	tam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1989.mp3	
13714184-n	tur:lemma	derece
13714184-n	tur:exe	0	Bugün kaç derece?
13714184-n	tur:exe	1	İyi derecede biliyorum efendim.
13714184-n	tur:exe	2	Ne derecede İngilizce biliyorsunuz?
13714184-n	tur:count	derece	3
13714184-n	tur:pron	derece			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1633.mp3	
00119568-n	tur:lemma	uç-
00119568-n	tur:exe	0	Kuşlar uçuyor.
00119568-n	tur:pron	uç-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1501.mp3	
08145553-n	tur:lemma	postane
08145553-n	tur:exe	0	Postane kaça kadar açık?
08145553-n	tur:count	postane	1
08145553-n	tur:pron	postane			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1690.mp3	
15237044-n	tur:lemma	ilkbahar
15237044-n	tur:exe	0	Japonya'da okullar ilkbaharda açılır.
15237044-n	tur:count	ilkbahar	1
15237044-n	tur:pron	ilkbahar			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1893.mp3	
01270199-v	tur:lemma	çamaşır yıka-
01270199-v	tur:exe	0	Bügün çamaşır yıkayacağım.
01270199-v	tur:pron	çamaşır yıka-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1553.mp3	
06505517-n	tur:lemma	kopya
06505517-n	tur:exe	0	Bunun kopyası var mı?
06505517-n	tur:count	kopya	1
06505517-n	tur:pron	kopya			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1531.mp3	
15166462-n	tur:lemma	akşam
15166462-n	tur:exe	0	O yüzden akşam saat 5’te burada buluşalım.
15166462-n	tur:exe	1	Ahmet her akşam piano çalar.
15166462-n	tur:exe	2	Bu akşam sinemaya gitmeyelim de evde kalalım.  
15166462-n	tur:exe	3	Peki, akşam için bir planın var mı?
15166462-n	tur:exe	4	Yarın akşam mı?
15166462-n	tur:count	akşam	5
15166462-n	tur:pron	akşam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1906.mp3	
15166462-n	tur:lemma	dün akşam
15166462-n	tur:exe	0	Dün akşam Osman'ın evine gittik, parti yaptık.
15166462-n	tur:count	dün akşam	1
15166462-n	tur:pron	dün akşam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1901.mp3	
01343918-a	tur:lemma	ilginç
01343918-a	tur:exe	0	Size ilginç bir hikaye anlatayım.
01343918-a	tur:count	ilginç	1
01343918-a	tur:pron	ilginç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1761.mp3	
01344344-a	tur:lemma	ilginç
01344344-a	tur:exe	0	Size ilginç bir hikaye anlatayım.
01344344-a	tur:count	ilginç	1
01344344-a	tur:pron	ilginç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1761.mp3	
01344344-a	tur:lemma	eğlenceli
01344344-a	tur:exe	0	Çok eğlenceliydi.
01344344-a	tur:count	eğlenceli	1
01344344-a	tur:pron	eğlenceli			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1754.mp3	
01265308-a	tur:lemma	ilginç
01265308-a	tur:exe	0	Size ilginç bir hikaye anlatayım.
01265308-a	tur:count	ilginç	1
01265308-a	tur:pron	ilginç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1761.mp3	
01344485-a	tur:lemma	ilginç
01344485-a	tur:exe	0	Size ilginç bir hikaye anlatayım.
01344485-a	tur:count	ilginç	1
01344485-a	tur:pron	ilginç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1761.mp3	
00067045-r	tur:lemma	ileri
00067045-r	tur:exe	0	Önce, biraz ilerideki duraktan otobüse binip Taksim’e gitmen gerekiyor. 
00067045-r	tur:count	ileri	1
00067045-r	tur:pron	ileri			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1782.mp3	
00067265-r	tur:lemma	ileri
00067265-r	tur:exe	0	Önce, biraz ilerideki duraktan otobüse binip Taksim’e gitmen gerekiyor. 
00067265-r	tur:count	ileri	1
00067265-r	tur:pron	ileri			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1782.mp3	
90000515-n	tur:lemma	öbür gün
90000515-n	tur:exe	0	Yarın işim var ama öbür gün boşum.
90000515-n	tur:count	öbür gün	1
90000515-n	tur:pron	öbür gün			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1907.mp3	
01296462-v	tur:lemma	tak-
01296462-v	tur:exe	0	Ben takı takmayı sevmem.
01296462-v	tur:exe	1	Ben gözlük takmayı hiç sevmem.
01296462-v	tur:pron	tak-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1807.mp3	
01801029-a	tur:lemma	eğlenceli
01801029-a	tur:exe	0	Çok eğlenceliydi.
01801029-a	tur:count	eğlenceli	1
01801029-a	tur:pron	eğlenceli			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1754.mp3	
03906997-n	tur:lemma	kalem
03906997-n	tur:exe	0	Orada tükenmez kalem var mı?
03906997-n	tur:exe	1	Aylin, kalemimi kaybettim.
03906997-n	tur:exe	2	Bu senin kalemin mi?
03906997-n	tur:exe	3	Bunun adı dolma kalem.
03906997-n	tur:exe	4	Daha kalın kalem yok mu?
03906997-n	tur:exe	5	Ne renk bir kalemdi?
03906997-n	tur:exe	6	Sınavda kurşun kalem kullanmalısınız.
03906997-n	tur:count	kalem	7
03906997-n	tur:pron	kalem			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1853.mp3	
77000095-n	tur:lemma	kim
77000095-n	tur:exe	0	Kiminle görüşüyorum?
77000095-n	tur:count	kim	1
77000095-n	tur:pron	kim			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1727.mp3	
77000095-n	tur:lemma	kim
77000095-n	tur:exe	0	Kim geldi?
77000095-n	tur:exe	1	Senin sağ tarafında kim oturuyor?
77000095-n	tur:exe	2	'Kırmızı ve Siyah'I yazan kimdi?
77000095-n	tur:exe	3	Burada kimse gördün mü?
77000095-n	tur:exe	4	Meici Dönemini haftaya kim anlatacak?
77000095-n	tur:count	kim	5
77000095-n	tur:pron	kim			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1727.mp3	
90000500-n	tur:lemma	evvelki yıl
90000500-n	tur:exe	0	O evvelki yıl, ilk defa Japonya'ya geldi.
90000500-n	tur:count	evvelki yıl	1
90000500-n	tur:pron	evvelki yıl			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1895.mp3	
03221720-n	tur:lemma	kapı
03221720-n	tur:exe	0	Kapıyı açabilir misiniz ?
03221720-n	tur:exe	1	Elleri ceplerinde, kapıdan kapıya gidip geliyor.
03221720-n	tur:exe	2	Kapıyı kapat.
03221720-n	tur:exe	3	Mustafa arka kapıdan çıktı.
03221720-n	tur:exe	4	Ahmet kapıyı açtı.
03221720-n	tur:count	kapı	6
03221720-n	tur:pron	kapı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1718.mp3	
03221720-n	tur:lemma	kapı
03221720-n	tur:exe	0	Bu kapıdan girilmez. 
03221720-n	tur:count	kapı	1
03221720-n	tur:pron	kapı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1718.mp3	
00050681-r	tur:lemma	yok
00050681-r	tur:exe	0	Daha ucuzu yok mu?
00050681-r	tur:exe	1	Meryem'in annebabası yok.
00050681-r	tur:exe	2	Daha kalın kalem yok mu?
00050681-r	tur:exe	3	Evet, bastım ama bir değişiklik yok.
00050681-r	tur:exe	4	Hayır, yok.
00050681-r	tur:exe	5	Benim haberim yok.
00050681-r	tur:exe	6	Rahatsız mısın yoksa?
00050681-r	tur:count	yok	7
00050681-r	tur:pron	yok			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1990.mp3	
00024587-r	tur:lemma	yok
00024587-r	tur:exe	0	Daha ucuzu yok mu?
00024587-r	tur:exe	1	Meryem'in annebabası yok.
00024587-r	tur:exe	2	Daha kalın kalem yok mu?
00024587-r	tur:exe	3	Evet, bastım ama bir değişiklik yok.
00024587-r	tur:exe	4	Hayır, yok.
00024587-r	tur:exe	5	Benim haberim yok.
00024587-r	tur:exe	6	Rahatsız mısın yoksa?
00024587-r	tur:count	yok	7
00024587-r	tur:pron	yok			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1990.mp3	
77000012-n	tur:lemma	ben
77000012-n	tur:exe	0	Ben hemen gitmeliyim.                  
77000012-n	tur:exe	1	Ben de iyiyim, teşekkür ederim.
77000012-n	tur:count	ben	2
77000012-n	tur:pron	ben			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1724.mp3	
77000015-n	tur:lemma	ben
77000015-n	tur:exe	0	Ben hemen gitmeliyim.                  
77000015-n	tur:exe	1	Ben de iyiyim, teşekkür ederim.
77000015-n	tur:count	ben	2
77000015-n	tur:pron	ben			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1724.mp3	
01344963-a	tur:lemma	sıkıcı
01344963-a	tur:exe	0	Bu ders çok sıkıcı.
01344963-a	tur:count	sıkıcı	1
01344963-a	tur:pron	sıkıcı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1770.mp3	
01170052-v	tur:lemma	iç-
01170052-v	tur:exe	0	İlk defa bu kadar güzel şarap içtim.
01170052-v	tur:exe	1	Başka içecek var mı?
01170052-v	tur:exe	2	Dün çok içmişim.
01170052-v	tur:exe	3	Hiç yeşil çay içmemiştim.
01170052-v	tur:exe	4	Sabaha kadar içtim.
01170052-v	tur:pron	iç-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1658.mp3	
03282295-n	tur:lemma	büyükelçilik
03282295-n	tur:exe	0	Japon Büyükelçiliği Ankara'da.
03282295-n	tur:pron	büyükelçilik			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1491.mp3	
14145501-n	tur:lemma	soğuk
14145501-n	tur:exe	0	Soğuk almışım. Başım ağrıyor.
14145501-n	tur:count	soğuk	1
14145501-n	tur:pron	soğuk			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1630.mp3	
06796119-n	tur:lemma	pul
06796119-n	tur:exe	0	Nerede pul alabilirim?
06796119-n	tur:exe	1	Pulu zarfa yapıştırdım.
06796119-n	tur:count	pul	2
06796119-n	tur:pron	pul			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1693.mp3	
07775375-n	tur:lemma	balık
07775375-n	tur:exe	0	Et ve balık, hangisini daha çok seviyorsunuz?
07775375-n	tur:count	balık	1
07775375-n	tur:pron	balık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1543.mp3	
02512053-n	tur:lemma	balık
02512053-n	tur:exe	0	Et ve balık, hangisini daha çok seviyorsunuz?
02512053-n	tur:count	balık	1
02512053-n	tur:pron	balık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1543.mp3	
01586866-a	tur:lemma	iyi
01586866-a	tur:exe	0	Bence de o çok iyi fikir.
01586866-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
01586866-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
01586866-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
01586866-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
01586866-a	tur:exe	5	İsmail Bey, iyi günler.
01586866-a	tur:exe	6	İyi seçmiş miyim ?
01586866-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
01586866-a	tur:count	iyi	8
01586866-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
01048762-a	tur:lemma	iyi
01048762-a	tur:exe	0	Bence de o çok iyi fikir.
01048762-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
01048762-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
01048762-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
01048762-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
01048762-a	tur:exe	5	İsmail Bey, iyi günler.
01048762-a	tur:exe	6	İyi seçmiş miyim ?
01048762-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
01048762-a	tur:count	iyi	8
01048762-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
00067638-a	tur:lemma	iyi
00067638-a	tur:exe	0	Bence de o çok iyi fikir.
00067638-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
00067638-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
00067638-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
00067638-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
00067638-a	tur:exe	5	İsmail Bey, iyi günler.
00067638-a	tur:exe	6	İyi seçmiş miyim ?
00067638-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
00067638-a	tur:count	iyi	8
00067638-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
01993408-a	tur:lemma	iyi
01993408-a	tur:exe	0	Bence de o çok iyi fikir.
01993408-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
01993408-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
01993408-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
01993408-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
01993408-a	tur:exe	5	İsmail Bey, iyi günler.
01993408-a	tur:exe	6	İyi seçmiş miyim ?
01993408-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
01993408-a	tur:count	iyi	8
01993408-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
01171213-a	tur:lemma	iyi
01171213-a	tur:exe	0	Bence de o çok iyi fikir.
01171213-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
01171213-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
01171213-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
01171213-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
01171213-a	tur:exe	5	İsmail Bey, iyi günler.
01171213-a	tur:exe	6	İyi seçmiş miyim ?
01171213-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
01171213-a	tur:count	iyi	8
01171213-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
01800349-a	tur:lemma	iyi
01800349-a	tur:exe	0	Bence de o çok iyi fikir.
01800349-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
01800349-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
01800349-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
01800349-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
01800349-a	tur:exe	5	İsmail Bey, iyi günler.
01800349-a	tur:exe	6	İyi seçmiş miyim ?
01800349-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
01800349-a	tur:count	iyi	8
01800349-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
01123148-a	tur:lemma	iyi
01123148-a	tur:exe	0	Bence de o çok iyi fikir.
01123148-a	tur:exe	1	Ayrıca, spor yapmaya başlarsanız iyi olur.
01123148-a	tur:exe	2	Bana sorarsanız yarın saat beşte başlamak en iyisidir.
01123148-a	tur:exe	3	Biraz Türkçe'yi anlıyorum. Ama iyi konuşamıyorum.
01123148-a	tur:exe	4	Bu baharatı yemeğe eklerseniz daha iyi olur.
01123148-a	tur:exe	5	İsmail Bey, iyi günler.
01123148-a	tur:exe	6	İyi seçmiş miyim ?
01123148-a	tur:exe	7	O yüzden çok iyi hazırlanman gerekir.
01123148-a	tur:count	iyi	8
01123148-a	tur:pron	iyi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1757.mp3	
00064787-a	tur:lemma	iyi
