# TUFS Basic Central Khmer Wordnet	khm http://www.coelang.tufs.ac.jp/mt/km/	CC BY 4.0
15183428-n	khm:exe	នៅជប៉ុន ខែឧសភាមានថ្ងៃឈប់ជាប់ៗគ្នាច្រើនជាងគេ។
15137890-n	khm:lemma	ថ្ងៃឈប់
15137890-n	khm:exe	នៅជប៉ុន ខែឧសភាមានថ្ងៃឈប់ជាប់ៗគ្នាច្រើនជាងគេ។
00027918-r	khm:lemma	នៅ
00027918-r	khm:exe	ពាក់អាវរងារោមចៀមហើយ នៅមិនបាត់រងាទៀត។
00031304-r	khm:lemma	នៅ
00031304-r	khm:exe	ពាក់អាវរងារោមចៀមហើយ នៅមិនបាត់រងាទៀត។
03925226-n	khm:lemma	រូបថត
03925226-n	khm:exe	ដើម្បីសុំទិដ្ឋាការ គេត្រូវការរូបថត៤x៦ មួយសន្លឹក។
03931044-n	khm:lemma	រូបថត
03931044-n	khm:exe	ដើម្បីសុំទិដ្ឋាការ គេត្រូវការរូបថត៤x៦ មួយសន្លឹក។
04248607-n	khm:lemma	រូបថត
04248607-n	khm:exe	ដើម្បីសុំទិដ្ឋាការ គេត្រូវការរូបថត៤x៦ មួយសន្លឹក។
15164233-n	khm:lemma	ថ្ងៃពុធ
15164233-n	khm:exe	សិស្សនេះធ្វើពុតឈឺមិនទៅរៀនថ្ងៃពុធ។
11524662-n	khm:lemma	អាកាសធាតុ
11524662-n	khm:exe	ខែមករាមានអាកាសធាតុត្រជាក់ស្ងួតស្រួលដើរកំសាន្ដ។
07193184-n	khm:lemma	សំណួរ
07193184-n	khm:exe	សិស្សឆ្លាតមានសំណួរច្រើន។
07196682-n	khm:lemma	សំណួរ
07196682-n	khm:exe	សិស្សឆ្លាតមានសំណួរច្រើន។
05797597-n	khm:lemma	សំណួរ
05797597-n	khm:exe	សិស្សឆ្លាតមានសំណួរច្រើន។
07193596-n	khm:lemma	សំណួរ
07193596-n	khm:exe	សិស្សឆ្លាតមានសំណួរច្រើន។
01904930-v	khm:lemma	ដើរ
01904930-v	khm:exe	បើមានភ្លៀងដើរក្រៅមិនកើត យើងនៅក្នុងផ្ទះសំណាក់ ជជែកគា្នលេង ឬមើលវីដេអូ។
03383948-n	khm:lemma	សម
03383948-n	khm:exe	ខ្មែរប្រើស្លាបព្រានិងសមសំរាប់ញ៉ាំបាយ។
08286569-n	khm:lemma	សាកលវិទ្យាល័យ
08286569-n	khm:exe	សាកលវិទ្យាល័យនេះមានសាខានៅតាមខេត្តចំនួន៥។
08286163-n	khm:lemma	សាកលវិទ្យាល័យ
08286163-n	khm:exe	សាកលវិទ្យាល័យនេះមានសាខានៅតាមខេត្តចំនួន៥។
08278169-n	khm:lemma	សាកលវិទ្យាល័យ
08278169-n	khm:exe	សាកលវិទ្យាល័យនេះមានសាខានៅតាមខេត្តចំនួន៥។
01000214-v	khm:lemma	សរសេរ
01000214-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
02471690-v	khm:lemma	សរសេរ
02471690-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
01020356-v	khm:lemma	សរសេរ
01020356-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
01691057-v	khm:lemma	សរសេរ
01691057-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
01698271-v	khm:lemma	សរសេរ
01698271-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
01020934-v	khm:lemma	សរសេរ
01020934-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
00993014-v	khm:lemma	សរសេរ
00993014-v	khm:exe	គាត់ទិញកាតប៉ុស្តាល់សំរាប់សរសេរទៅមិត្តគាត់។
03822171-n	khm:lemma	កាសែត
03822171-n	khm:exe	គេជូតកញ្ចក់ដោយប្រើកាសែតចាស់ជ្រលក់ទឹក។
06267145-n	khm:lemma	កាសែត
06267145-n	khm:exe	គេជូតកញ្ចក់ដោយប្រើកាសែតចាស់ជ្រលក់ទឹក។
14961722-n	khm:lemma	កាសែត
14961722-n	khm:exe	គេជូតកញ្ចក់ដោយប្រើកាសែតចាស់ជ្រលក់ទឹក។
07197021-n	khm:lemma	ប្រឡង
07197021-n	khm:exe	ថ្នាក់ទី១១ ចែកជាក្រុមរៀនព្រឹកនិងក្រុមរៀនល្ងាច។
00158309-r	khm:lemma	គត់
00158309-r	khm:exe	ស្គរវត្តបន្លឺនៅម៉ោង១២គត់ថ្ងៃត្រង់។
00002621-r	khm:lemma	គត់
00002621-r	khm:exe	ស្គរវត្តបន្លឺនៅម៉ោង១២គត់ថ្ងៃត្រង់។
00002950-r	khm:lemma	គត់
00002950-r	khm:exe	ស្គរវត្តបន្លឺនៅម៉ោង១២គត់ថ្ងៃត្រង់។
13714184-n	khm:lemma	អង្សា
13714184-n	khm:exe	ស្រុកខ្មែរមិនប្រើអង្សាហ្វារ៉ិនហៃទេ។
00119568-n	khm:lemma	លោត
00119568-n	khm:exe	កង្កែបលោតចូលទឹក។
08145553-n	khm:lemma	ប៉ុស្តិ៍
08145553-n	khm:exe	លោកសំណាង សូមជួយយកសំបុត្រនេះទៅប៉ុស្តិ៍ផង។
15237044-n	khm:lemma	រដូវផ្ការីក
15237044-n	khm:exe	រដូវផ្ការីក មានទេសភាពស្រស់បំព្រង។
01270199-v	khm:lemma	បោក
01270199-v	khm:exe	បាទ លុបមុខ បោសសំអាតផ្ទះ បោកខោអាវ ហើយរៀបចំបាយព្រឹកសម្រាប់់ប្រពន្ធកូនខ្ញុំ។
06505517-n	khm:lemma	ច្បាប់ចម្លង
06505517-n	khm:exe	កុំដាក់សញ្ញាបត្រជាច្បាប់ចម្លងភ្ជាប់មកជាមួយពាក្យសុំ។
15166462-n	khm:lemma	ពេលល្ងាច
15166462-n	khm:exe	ពេលល្ងាចព្រះអាទិត្យហៀបលិច បក្សាបក្សីវិលរកទ្រនំ។
15166462-n	khm:lemma	យប់មិញ
15166462-n	khm:exe	យប់មិញ ដេកជ្រុលមិនបានមើលរឿងតាមទូរទស្សន៍។
01343918-a	khm:lemma	គួរឲ្យចាប់អារម្មណ៍
01343918-a	khm:exe	គួរឲ្យចាប់អារម្មណ៍មែន។
01344344-a	khm:lemma	គួរឲ្យចាប់អារម្មណ៍
01344344-a	khm:exe	គួរឲ្យចាប់អារម្មណ៍មែន។
01344344-a	khm:lemma	សប្បាយ
01344344-a	khm:exe	នៅទីនោះ មានកនែ្លងអ្វីសប្បាយ?
01265308-a	khm:lemma	គួរឲ្យចាប់អារម្មណ៍
01265308-a	khm:exe	គួរឲ្យចាប់អារម្មណ៍មែន។
01344485-a	khm:lemma	គួរឲ្យចាប់អារម្មណ៍
01344485-a	khm:exe	គួរឲ្យចាប់អារម្មណ៍មែន។
00067045-r	khm:lemma	មុខ
00067045-r	khm:exe	សូមជួយណែនាំខ្ញុំ ក្នុងពេលមួយឆាំ្នខាងមុខនេះផង។
00067265-r	khm:lemma	មុខ
00067265-r	khm:exe	សូមជួយណែនាំខ្ញុំ ក្នុងពេលមួយឆាំ្នខាងមុខនេះផង។
90000515-n	khm:lemma	ខានស្អែក
90000515-n	khm:exe	ថ្ងៃនេះមិនមករៀន ថ្ងៃស្អែករវល់ បើខានស្អែកមិនមកទេ ពួកយើងមិនអត់អោនឲ្យគាត់ទេ។
01296462-v	khm:lemma	ដាក់
01296462-v	khm:exe	កុំដាក់សញ្ញាបត្រជាច្បាប់ចម្លងភ្ជាប់មកជាមួយពាក្យសុំ។
01801029-a	khm:lemma	សប្បាយ
01801029-a	khm:exe	នៅទីនោះ មានកនែ្លងអ្វីសប្បាយ?
03906997-n	khm:lemma	ប៊ិក
03906997-n	khm:exe	សូមគូសចំណាំដោយប៊ិកផឺតទឹកលុបមិនជ្រះ។
77000095-n	khm:lemma	អញ្ជើញពីខាងណា
77000095-n	khm:exe	លោកអញ្ជើញពីខាងណាមានការអ្វីដែរបាទ?
77000095-n	khm:lemma	អ្នកណា
77000095-n	khm:exe	ដានី ខាងគណនេយ្យ គឺជាការងាររបស់អ្នកណា?
90000500-n	khm:lemma	ឆ្នាំទៅមួយ
90000500-n	khm:exe	ដើមឈើដែលដកដាំកាលពីឆ្នាំទៅមួយ ចេញផ្កាហើយ។
03221720-n	khm:lemma	ទ្វារ
03221720-n	khm:exe	ទ្វារនេះធ្វើពីដើមផ្ចឹក។
03221720-n	khm:lemma	ទ្វារ
03221720-n	khm:exe	ទ្វារផ្ទះបោរបិទមិនជិត។
00050681-r	khm:lemma	គ្មាន
00050681-r	khm:exe	កន្លែងនោះគ្មានអ្វីសំគាល់ឲ្យស្រួលរកសោះ។
00024587-r	khm:lemma	គ្មាន
00024587-r	khm:exe	កន្លែងនោះគ្មានអ្វីសំគាល់ឲ្យស្រួលរកសោះ។
77000012-n	khm:lemma	ខ្ញុំ
77000012-n	khm:exe	លោកគ្រូជួយខ្ញុំច្រើន។
77000015-n	khm:lemma	ខ្ញុំ
77000015-n	khm:exe	លោកគ្រូជួយខ្ញុំច្រើន។
01344963-a	khm:lemma	អផ្សុក
01344963-a	khm:exe	ថ្ងៃនេះ ពួកម៉ាកមិនមកលេងផ្ទះ អផ្សុកណាស់។
01170052-v	khm:lemma	ញ៉ាំ
01170052-v	khm:exe	ញ៉ាំទឹកតែទេ?
03282295-n	khm:lemma	ស្ថានទូត
03282295-n	khm:exe	ជនបរទេសមកសុំទិដ្ឋាការនៅស្ថានទូតកម្ពុជា។
14145501-n	khm:lemma	ផ្ដាសាយ
14145501-n	khm:exe	គាត់ផ្ដាសាយតឹងច្រមុះ និយាយសម្លេងក្ងួរ។
06796119-n	khm:lemma	តែមប្រិ៍
06796119-n	khm:exe	សំបុត្រទៅកាណាដាបិទតែមប្រ៍ថ្លៃប៉ុន្មាន?
07775375-n	khm:lemma	ត្រី
07775375-n	khm:exe	គាត់ចង់ស្គម រាល់បាយល្ងាច ហូបតែបបរសត្រីងៀតប៉ុណ្ណោះ។
02512053-n	khm:lemma	ត្រី
02512053-n	khm:exe	គាត់ចង់ស្គម រាល់បាយល្ងាច ហូបតែបបរសត្រីងៀតប៉ុណ្ណោះ។
01586866-a	khm:lemma	ល្អ
01586866-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01048762-a	khm:lemma	ល្អ
01048762-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
00067638-a	khm:lemma	ល្អ
00067638-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01993408-a	khm:lemma	ល្អ
01993408-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01171213-a	khm:lemma	ល្អ
01171213-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01800349-a	khm:lemma	ល្អ
01800349-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01123148-a	khm:lemma	ល្អ
01123148-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
00064787-a	khm:lemma	ល្អ
00064787-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
00850183-a	khm:lemma	ល្អ
00850183-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01129977-a	khm:lemma	ល្អ
01129977-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01586752-a	khm:lemma	ល្អ
01586752-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
04588365-n	khm:lemma	បង្អួច
04588365-n	khm:exe	ខ្ញុំចង់បានបន្ទប់នៅជាន់ទីបី បង្អួចបែរទៅរកថ្នល់ធំខាងមុខ។
04587648-n	khm:lemma	បង្អួច
04587648-n	khm:exe	ខ្ញុំចង់បានបន្ទប់នៅជាន់ទីបី បង្អួចបែរទៅរកថ្នល់ធំខាងមុខ។
05216365-n	khm:lemma	ខ្លួន
05216365-n	khm:exe	ខ្ញុំក្តៅខ្លួន។
76100002-x	khm:lemma	សន្លឹក
76100002-x	khm:exe	ដើម្បីសុំទិដ្ឋាការ គេត្រូវការរូបថត៤x៦ មួយសន្លឹក។
04967191-n	khm:lemma	បៃតង
04967191-n	khm:exe	ពណ៌លឿង និងពណ៌បៃតងជាពណ៌ជាតិរបស់ប្រទេសប្រេស៊ីល។
80001047-v	khm:lemma	ស្លាប់
80001047-v	khm:exe	កុំស្លាប់ដូចពស់ កុំរស់ដូចកង្កែប។
03497657-n	khm:lemma	មួក
03497657-n	khm:exe	លោកត្រូវដោះមួកចេញ ពេលចូលវត្ត។
15129927-n	khm:lemma	ម៉ោង
15129927-n	khm:exe	នាឡិកាប៉ោលវាយម៉ោង១២ថ្ងៃត្រង់។
06359877-n	khm:lemma	អត្ថបទ
06359877-n	khm:exe	គាត់សម្រាយអត្ថបទនេះពីពាក្យកាព្យ។
00546389-n	khm:lemma	ចម្រៀង
00546389-n	khm:exe	គេសប្បាយនឹងស្ដាប់ចម្រៀងយ៉ាងពីរោះ។
07048000-n	khm:lemma	ចម្រៀង
07048000-n	khm:exe	គេសប្បាយនឹងស្ដាប់ចម្រៀងយ៉ាងពីរោះ។
01754737-v	khm:lemma	កាត់
01754737-v	khm:exe	មុនដំបូង យកកន្រ្តៃកាត់រូបអក្សរនេះចេញ។
07447641-n	khm:lemma	ជប់លៀង
07447641-n	khm:exe	យើងរៀបចំជប់លៀងទទួលស្វាគមន៍និសិ្សតចូលថ្មី។
01842204-v	khm:lemma	ចេញ
01842204-v	khm:exe	បាទ បើការងារចេញទៅក្រៅ ខ្ញុំគិតថា លោកភិរម្យចង់ទៅជាង។
04241394-n	khm:lemma	ស្បែកជើងផ្ទាត់
04241394-n	khm:exe	ពាក់ស្បែកជើងផ្ទាត់ ផ្ទាត់ភក់ប្រឡាក់ខោអស់។
05301908-n	khm:lemma	មាត់
05301908-n	khm:exe	ក្មេងៗស្ដាប់ចំហរមាត់លោកតានិទានរឿងសុភាទន្សាយ។
02440250-n	khm:lemma	ដៃ
02440250-n	khm:exe	ក្មេងត្រូវកាន់របស់ដៃពីរ ហុចឲ្យចាស់ៗ។
09823502-n	khm:lemma	មីង
09823502-n	khm:exe	បើរបស់អ្នកមីងឬលោកប៉ា ម្ដេចក៏អញមិនដែលឃើញ?
10193967-n	khm:lemma	ប្ដី
10193967-n	khm:exe	ការងារជាប្ដីគឺ រកឧស ភ្ជួររាស់ ឡើងត្នោត។
15213406-n	khm:lemma	ខែវិច្ឆិកា
15213406-n	khm:exe	ខែវិច្ឆិកា ខ្យល់ធ្លាក់ពីជើង រហើយណាស់។
06277280-n	khm:lemma	ទូរទស្សន៍
06277280-n	khm:exe	បាទទេ ខ្ញុំចូលចិត្តមើលគេហែលទឹកតាមទូរទស្សន៍ទេ។
13831176-n	khm:lemma	ជើង
13831176-n	khm:exe	ខែវិច្ឆិកា ខ្យល់ធ្លាក់ពីជើង រហើយណាស់។
06964901-n	khm:lemma	ភាសាខ្មែរ
06964901-n	khm:exe	និសិ្សតបរទេសនិយាយភាសាខ្មែរបានល្អណាស់។
01318741-a	khm:lemma	ឈឺ
01318741-a	khm:exe	លោកឈឺអី?
01712753-a	khm:lemma	ឈឺ
01712753-a	khm:exe	លោកឈឺអី?
05395690-n	khm:lemma	ពោះ
05395690-n	khm:exe	ថៅកែចិនធាត់ដុះក្បាលពោះស៊្អុយ។
05556943-n	khm:lemma	ពោះ
05556943-n	khm:exe	ថៅកែចិនធាត់ដុះក្បាលពោះស៊្អុយ។
02324478-v	khm:lemma	ថែម
02324478-v	khm:exe	កាហ្វេទឹកដោះគោផ្អែមស្រាប់ហើយ នៅតែថែមស្ករទៀត?
00640828-v	khm:lemma	ថែម
00640828-v	khm:exe	កាហ្វេទឹកដោះគោផ្អែមស្រាប់ហើយ នៅតែថែមស្ករទៀត?
00182406-v	khm:lemma	ថែម
00182406-v	khm:exe	កាហ្វេទឹកដោះគោផ្អែមស្រាប់ហើយ នៅតែថែមស្ករទៀត?
00749230-a	khm:lemma	ស្រួល
00749230-a	khm:exe	ប៉ុស្ត៍ប៉ូលីសនៅកណ្តាលវាល ស្រួលរកណាស់។
14061805-n	khm:lemma	ជម្ងឺ
14061805-n	khm:exe	ថ្នាំបុរាណព្យាបាលជម្ងឺបានស័ក្តិសិទ្ធិ។
14055408-n	khm:lemma	ជម្ងឺ
14055408-n	khm:exe	ថ្នាំបុរាណព្យាបាលជម្ងឺបានស័ក្តិសិទ្ធិ។
14473054-n	khm:lemma	ជម្ងឺ
14473054-n	khm:exe	ថ្នាំបុរាណព្យាបាលជម្ងឺបានស័ក្តិសិទ្ធិ។
10399491-n	khm:lemma	ឪពុកម្ដាយ
10399491-n	khm:exe	វ៉ាកងធំ សិស្ស និស្សិត ត្រឡប់ទៅជួយការងារស្រែចំការរបស់ឪពុកម្តាយខ្លួន។
13833375-n	khm:lemma	ត្បូង
13833375-n	khm:exe	ទ្វារចូលវត្តពីខាងត្បូងត្រូវគេបិទ។
02472293-n	khm:lemma	មនុស្ស
02472293-n	khm:exe	ទេវី ចេះមើលមនុស្សតែតាមចរិតស្លូត ឬ កាច តែប៉ុណ្ណឹងទេឬ?
15212167-n	khm:lemma	ខែកក្កដា
15212167-n	khm:exe	ខែកក្កដាជាខែមានប្រឡងច្រើន។
00442917-a	khm:lemma	ឆ្ងាយ
00442917-a	khm:exe	ជួរភ្នំដងរែកស្ថិតនៅឆ្ងាយពីទីរួមខេត្ត។
01421622-v	khm:lemma	ដាក់
01421622-v	khm:exe	គាត់ញ៉ាំនំបុ័ងដាក់សាច់ប៉ាតេរាល់ព្រឹក។
03398467-n	khm:lemma	មុខ
03398467-n	khm:exe	មិនយូរប៉ុន្មានគេក៏ឮសូររថយន្តមួយបើកមកឈប់នៅចំមុខផ្ទះ។
00964768-a	khm:lemma	ខ្សោយ
00964768-a	khm:exe	គាត់ងើបពីឈឺ មានកម្លាំងខ្សោយ។
02324397-a	khm:lemma	ខ្សោយ
02324397-a	khm:exe	គាត់ងើបពីឈឺ មានកម្លាំងខ្សោយ។
00709215-a	khm:lemma	ខ្សោយ
00709215-a	khm:exe	គាត់ងើបពីឈឺ មានកម្លាំងខ្សោយ។
02040233-a	khm:lemma	ខ្សោយ
02040233-a	khm:exe	គាត់ងើបពីឈឺ មានកម្លាំងខ្សោយ។
02040049-a	khm:lemma	ខ្សោយ
02040049-a	khm:exe	គាត់ងើបពីឈឺ មានកម្លាំងខ្សោយ។
00254978-r	khm:lemma	រាល់ខែ
00254978-r	khm:exe	រាល់ខែ នៅសប្ដាហ៍ទី១ មានការប្រជុំការងារ។
77000091-n	khm:lemma	យ៉ាងណា
77000091-n	khm:exe	យ៉ាងណាក៏ដោយ ខ្ញុំនឹងរង់ចាំជួបគាត់។
06605897-n	khm:lemma	ន័យ
06605897-n	khm:exe	ដានី ពាក្យខែ្មរ "ប្រកាន់" មានន័យយ៉ាងម៉េច?
05919866-n	khm:lemma	ន័យ
05919866-n	khm:exe	ដានី ពាក្យខែ្មរ "ប្រកាន់" មានន័យយ៉ាងម៉េច?
06601327-n	khm:lemma	ន័យ
06601327-n	khm:exe	ដានី ពាក្យខែ្មរ "ប្រកាន់" មានន័យយ៉ាងម៉េច?
04059701-n	khm:lemma	ក្រោយ
04059701-n	khm:exe	នាងទាំងពីរចុះតាមជណ្ដើរក្រោយ។
02767665-n	khm:lemma	ក្រោយ
02767665-n	khm:exe	នាងទាំងពីរចុះតាមជណ្ដើរក្រោយ។
03540595-n	khm:lemma	មន្ទីរពេទ្យ
03540595-n	khm:exe	មន្ទីរពេទ្យសម្ភពជាពេទ្យសំរាប់ស្ត្រីមានគភ៌។
08054417-n	khm:lemma	មន្ទីរពេទ្យ
08054417-n	khm:exe	មន្ទីរពេទ្យសម្ភពជាពេទ្យសំរាប់ស្ត្រីមានគភ៌។
05311054-n	khm:lemma	ភ្នែក
05311054-n	khm:exe	ញ៉ាំបាយពេលថ្ងៃហើយ ទន់ត្របកភ្នែក។
05316025-n	khm:lemma	ភ្នែក
05316025-n	khm:exe	ញ៉ាំបាយពេលថ្ងៃហើយ ទន់ត្របកភ្នែក។
02871439-n	khm:lemma	ទូដាក់សៀវភៅ
02871439-n	khm:exe	ទូដាក់សៀវភៅនេះវែង ហើយមាន៧ជាន់។
01186408-a	khm:lemma	ស្រាល
01186408-a	khm:exe	បី្តខ្ញុំបានធូរស្រាលហើយ។
04049098-n	khm:lemma	ស្ថានីយ
04049098-n	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
03030663-n	khm:lemma	បារី
03030663-n	khm:exe	ទិញបារីនេះមួយសុង គេលើសឲ្យចានគោះបារីមួយ។
02230772-v	khm:lemma	ហុចឲ្យ
02230772-v	khm:exe	ក្មេងត្រូវកាន់របស់ដៃពីរ ហុចឲ្យចាស់ៗ។
90000504-n	khm:lemma	ពីរឆ្នាំក្រោយ
90000504-n	khm:exe	គាត់នឹងចូលនិវត្តន៍ពីរឆ្នាំក្រោយ។
00729108-n	khm:lemma	កិច្ចការផ្ទះ
00729108-n	khm:exe	កិច្ចការផ្ទះធ្វើមិនទាន់ នៅសល់ច្រើន។
03815615-n	khm:lemma	ក្រវាត់ក
03815615-n	khm:exe	គាត់ពូកែចងក្រវាត់កបានស្អាតណាស់។
07596684-n	khm:lemma	នំ
07596684-n	khm:exe	នំនេះធ្វើពីអ្វី?
05560787-n	khm:lemma	ជើង
05560787-n	khm:exe	ក្នុងផ្សារគេដើរជាន់ជើងគ្នាមិនចាំបាច់និយាយអត់ទោសទេ។
05563266-n	khm:lemma	ជើង
05563266-n	khm:exe	ក្នុងផ្សារគេដើរជាន់ជើងគ្នាមិនចាំបាច់និយាយអត់ទោសទេ។
15211189-n	khm:lemma	ខែមេសា
15211189-n	khm:exe	ជនជាតិខ្មែរចូលឆ្នាំថ្មី នៅថ្ងៃទី១៣ឬ១៤​ ខែមេសា។
02310007-v	khm:lemma	សង
02310007-v	khm:exe	គាត់ថាថ្ងៃស្អែកនឹងសងលុយវិញ តែស្អែកមួយពាន់ដង។
01308381-v	khm:lemma	សង
01308381-v	khm:exe	គាត់ថាថ្ងៃស្អែកនឹងសងលុយវិញ តែស្អែកមួយពាន់ដង។
80001595-v	khm:lemma	សង
80001595-v	khm:exe	គាត់ថាថ្ងៃស្អែកនឹងសងលុយវិញ តែស្អែកមួយពាន់ដង។
10080869-n	khm:lemma	ឪពុក
10080869-n	khm:exe	ហេតុអ្វីក៏អ្នកបងរត់ចេញពីផ្ទះឪពុកខ្ញុំ។
10080869-n	khm:lemma	ឪពុក
10080869-n	khm:exe	តាមពិត របស់ឪពុកខ្ញុំ តែខ្ញុំខ្ចីមកប្រើថ្ងែនេះ។
02411224-a	khm:lemma	ធាត់
02411224-a	khm:exe	ថៅកែចិនធាត់ដុះក្បាលពោះស៊្អុយ។
04446276-n	khm:lemma	បង្គន់
04446276-n	khm:exe	ផ្ទះជប៉ុន បន្ទប់ទឹក និងបង្គន់ច្រើនតែនៅដាច់ពីគ្នា។
04555291-n	khm:lemma	បង្គន់
04555291-n	khm:exe	ផ្ទះជប៉ុន បន្ទប់ទឹក និងបង្គន់ច្រើនតែនៅដាច់ពីគ្នា។
15212455-n	khm:lemma	ខែសីហា
15212455-n	khm:exe	ជួនកាល កូនរដូវប្រាំងមានក្នុងខែសីហា។
00292937-a	khm:lemma	រវល់
00292937-a	khm:exe	ឥឡូវខ្ញុំកំពុងរវល់​ សឹមរួចដៃសិន បានទៅ ។
00273082-a	khm:lemma	ងងឹត
00273082-a	khm:exe	មេឃងងឹតជិតភ្លៀង។
03291819-n	khm:lemma	ស្រោមសំបុត្រ
03291819-n	khm:exe	ដាក់លុយនៅក្នុងស្រោមសំបុត្រអញ្ជើញនេះហើយញ៉ាំរួចហើយយកស្រោមសំបុត្រនេះ ឲ្យអ្នកដែលចាំទទួលចំណងដៃនៅតុ ក្បែរកនែ្លងទទួលភ្ញៀវតែម្តង។
80001545-n	khm:lemma	ក្បែរ
80001545-n	khm:exe	សូផាតដោះចិញ្ចៀនទុកនៅក្បែរពាងទឹក។
09215315-n	khm:lemma	ក្រោម
09215315-n	khm:exe	ក្នុងនោះ មានកេ្មងអាយុក្រោម ១៥ ឆាំ្ន ប៉ុន្មានភាគរយ?
80001661-n	khm:lemma	ក្រោម
80001661-n	khm:exe	ក្នុងនោះ មានកេ្មងអាយុក្រោម ១៥ ឆាំ្ន ប៉ុន្មានភាគរយ?
00523513-n	khm:lemma	កីឡា
00523513-n	khm:exe	អញ្ចឹង ក្នុងចំណោមកីឡាទាំងអស់ លោកចូលចិត្តមួយណាជាងគេ?
03179701-n	khm:lemma	តុ
03179701-n	khm:exe	នាងអ៊ូរីឈរនៅជិតតុសូផាត ឥតមានវាចាអ្វី។
04202417-n	khm:lemma	ហាង
04202417-n	khm:exe	ហាងលក់ម៉ាញេថតសម្លេងជជុះ មានមនុស្សច្រើន។
02016062-v	khm:lemma	ចុះ
02016062-v	khm:exe	លោកគ្រូ រឿងចុះបំពេញកម្មសិក្សារបស់ខ្ញុំ យ៉ាងម៉េចដែរ?
15237782-n	khm:lemma	រដូវរងារ
15237782-n	khm:exe	រដូវរងាឆ្នាំនេះ ក្ដៅជាងធម្មតា។
80001691-n	khm:lemma	លើ
80001691-n	khm:exe	កុមារីចេះប៉ាក់ផ្កាលើកន្សែងដៃ។
08663354-n	khm:lemma	លើ
08663354-n	khm:exe	កុមារីចេះប៉ាក់ផ្កាលើកន្សែងដៃ។
07804323-n	khm:lemma	បាយ
07804323-n	khm:exe	ញ៉ាំម្តង ២គ្រាប់ ១ថ្ងៃ ៣ដង ក្រោយពេលពិសាបាយរួច។
15245990-n	khm:lemma	បាយ
15245990-n	khm:exe	ញ៉ាំម្តង ២គ្រាប់ ១ថ្ងៃ ៣ដង ក្រោយពេលពិសាបាយរួច។
90000417-n	khm:lemma	បាយ
90000417-n	khm:exe	ញ៉ាំម្តង ២គ្រាប់ ១ថ្ងៃ ៣ដង ក្រោយពេលពិសាបាយរួច។
07575076-n	khm:lemma	បាយថ្ងៃ
07575076-n	khm:exe	បាយល្ងាចសំបូរម្ហូបជាងបាយថ្ងៃត្រង់។
15156001-n	khm:lemma	ថ្ងៃនេះ
15156001-n	khm:exe	ថ្ងៃនេះមិនមករៀន ថ្ងៃស្អែករវល់ បើខានស្អែកមិនមកទេ ពួកយើងមិនអត់អោនឲ្យគាត់ទេ។
09604981-n	khm:lemma	ខ្លួនឯង
09604981-n	khm:exe	ចាប់ពីសែ្អកទៅ ខ្ញុំទៅដោយខ្លួនឯង។
07557434-n	khm:lemma	ម្ហូប
07557434-n	khm:exe	បាយល្ងាចសំបូរម្ហូបជាងបាយថ្ងៃត្រង់។
02395115-a	khm:lemma	ឆ្ងាញ់
02395115-a	khm:exe	មើលទៅ គួរឲ្យឆ្ងាញ់ណាស់។  អរគុណ។
02396720-a	khm:lemma	ឆ្ងាញ់
02396720-a	khm:exe	មើលទៅ គួរឲ្យឆ្ងាញ់ណាស់។  អរគុណ។
