# TUFS Basic Arabic Wordnet	arb	http://www.coelang.tufs.ac.jp/mt/ar/	CC BY 4.0
15210045-n	arb:lemma	يناير
03282295-n	arb:exe	7	إلى السفارة اليابانيّة، من فضلك.
03282295-n	arb:exe	8	هذا هو جواز سفري.
03282295-n	arb:exe	9	لم يعد السفر إلى العالم العربي صعبا.
03282295-n	arb:pron	سِفَارَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_16.mp3	
14145501-n	arb:lemma	برد　(يبرد 
14145501-n	arb:lemma	برد،برود)
14145501-n	arb:exe	0	أخبرني عمي أن عصير الليمون مفيد جدا لمعالجة البرد.
14145501-n	arb:pron	برد،برود)			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_148.mp3	
06796119-n	arb:lemma	طابع	طوابع__morph:pl
06796119-n	arb:exe	0	يجمع ابن خالي طوابع بريد نادرة من كل أنحاء العالم.
06796119-n	arb:exe	1	ألصق هذا الطابع على الظرف، ثم ضعه في صندوق البريد.
06796119-n	arb:count	طابع	1
06796119-n	arb:pron	طابع			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_206.mp3	
07775375-n	arb:lemma	سَمَكٌ
07775375-n	arb:lemma	سَمَكَةٌ	__morph:count:sg
07775375-n	arb:lemma	أَسْمَاكٌ	__morph:pl
07775375-n	arb:exe	0	يأكل اليابانيون السمك النيء "ساشيمي" مع معجون فول الصويا.
07775375-n	arb:exe	1	وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.
07775375-n	arb:exe	2	ما اسمك ؟ ... اسمي جمال، أنا من مصر.
07775375-n	arb:exe	3	أدخل اسمك كاملاً وكلمة السرّ.
07775375-n	arb:exe	4	إذاً، اكتبي اسمك هنا ورقم هاتفك المحمول، إذا سمحت.
07775375-n	arb:exe	5	وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.
07775375-n	arb:pron	أَسْمَاكٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_67.mp3	
02512053-n	arb:lemma	سَمَكٌ
02512053-n	arb:lemma	سَمَكَةٌ	__morph:count:sg
02512053-n	arb:lemma	أَسْمَاكٌ	__morph:pl
02512053-n	arb:exe	0	يأكل اليابانيون السمك النيء "ساشيمي" مع معجون فول الصويا.
02512053-n	arb:exe	1	وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.
02512053-n	arb:exe	2	ما اسمك ؟ ... اسمي جمال، أنا من مصر.
02512053-n	arb:exe	3	أدخل اسمك كاملاً وكلمة السرّ.
02512053-n	arb:exe	4	إذاً، اكتبي اسمك هنا ورقم هاتفك المحمول، إذا سمحت.
02512053-n	arb:exe	5	وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.
02512053-n	arb:pron	أَسْمَاكٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_67.mp3	
01586866-a	arb:lemma	طَيِّبٌ
01586866-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01586866-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01048762-a	arb:lemma	طَيِّبٌ
01048762-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01048762-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
00067638-a	arb:lemma	طَيِّبٌ
00067638-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
00067638-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01993408-a	arb:lemma	طَيِّبٌ
01993408-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01993408-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01171213-a	arb:lemma	طَيِّبٌ
01171213-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01171213-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01800349-a	arb:lemma	طَيِّبٌ
01800349-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01800349-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01123148-a	arb:lemma	طَيِّبٌ
01123148-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01123148-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
00064787-a	arb:lemma	طَيِّبٌ
00064787-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
00064787-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
00850183-a	arb:lemma	طَيِّبٌ
00850183-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
00850183-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01129977-a	arb:lemma	طَيِّبٌ
01129977-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01129977-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
01586752-a	arb:lemma	طَيِّبٌ
01586752-a	arb:exe	0	قضينا وقتا طيبا على شاطئ البحر.
01586752-a	arb:pron	طَيِّبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_262.mp3	
04588365-n	arb:lemma	شباك	شبابيك__morph:pl
04588365-n	arb:exe	0	افتح الشباك كي نجدد الهواء.
04588365-n	arb:count	شباك	1
04588365-n	arb:pron	شباك			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_225.mp3	
04587648-n	arb:lemma	شباك	شبابيك__morph:pl
04587648-n	arb:exe	0	افتح الشباك كي نجدد الهواء.
04587648-n	arb:count	شباك	1
04587648-n	arb:pron	شباك			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_225.mp3	
05216365-n	arb:lemma	جسم	أجسام،جسوم__morph:pl
05216365-n	arb:exe	0	يشبه والده كثيرا بوجهه الأحمر وجسمه السمين.
05216365-n	arb:exe	1	أمي ضعيفة الجسم.
05216365-n	arb:count	جسم	2
05216365-n	arb:pron	جسم			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_315.mp3	
04967191-n	arb:lemma	أَخْضَرُ
04967191-n	arb:lemma	خَضْرَاءُ	__morph:f
04967191-n	arb:lemma	خُضْرٌ	__morph:pl
04967191-n	arb:exe	0	السماء زرقاء والأشجار خضراء.
04967191-n	arb:exe	1	في اليابان لا نضع السكر في الشاي الأخضر.
04967191-n	arb:exe	2	كلي البصل الأخضر واشربي عصير الليمون.‎
04967191-n	arb:exe	3	بيضاء، سوداء، خضراء، حمراء، زرقاء، صفراء
04967191-n	arb:pron	خُضْرٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_457.mp3	
80001047-v	arb:lemma	مَاتَ
80001047-v	arb:exe	0	كدت أموت من شدة الضحك.
80001047-v	arb:exe	1	وأسجّل كلمات تعلّمتها كيلا أنسى.
80001047-v	arb:exe	2	وأسجّل كلمات تعلّمتها كيلا أنسى.
80001047-v	arb:exe	3	قاموسي صغير ولا أستطيع أن أجد الكلمات التي أبحث عنها.
80001047-v	arb:exe	4	قاموسي صغير ولا أستطيع أن أجد الكلمات التي أبحث عنها.‍
80001047-v	arb:exe	5	وأسجّل كلمات تعلّمتها كيلا أنسى.
80001047-v	arb:pron	مَاتَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_147.mp3	
03497657-n	arb:lemma	قبعة	قبعات__morph:pl
03497657-n	arb:exe	0	يلبس اليابانيون القبعات في الصيف.
03497657-n	arb:pron	قبعة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_210.mp3	
06359877-n	arb:lemma	جُمْلَةٌ
06359877-n	arb:exe	0	اقرأ الجمل التالية ثم أجب عن الأسئلة.
06359877-n	arb:exe	1	ما أجمل الطبيعة في فصل الربيع!
06359877-n	arb:exe	2	ما أجمل الطبيعة في فصل الربيع! ... نعم، بالفعل.
06359877-n	arb:exe	3	ما أجمل هذه المقطوعة!
06359877-n	arb:pron	جُمْلَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_433.mp3	
00546389-n	arb:lemma	أُغْنِيَةٌ
00546389-n	arb:exe	0	لو استطعت أن أعزف على البيانو لأسمعتك أغنية.
00546389-n	arb:exe	1	تطبخ أمي وهي تغني في المطبخ.
00546389-n	arb:exe	2	يغني ذلك المطرب وهو يعزف على الجيتار.
00546389-n	arb:pron	أُغْنِيَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_405.mp3	
07048000-n	arb:lemma	أُغْنِيَةٌ
07048000-n	arb:exe	0	لو استطعت أن أعزف على البيانو لأسمعتك أغنية.
07048000-n	arb:exe	1	تطبخ أمي وهي تغني في المطبخ.
07048000-n	arb:exe	2	يغني ذلك المطرب وهو يعزف على الجيتار.
07048000-n	arb:pron	أُغْنِيَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_405.mp3	
01754737-v	arb:lemma	قَصَّ
01754737-v	arb:exe	0	قصت زميلتنا شعرها الطويل الجميل.
01754737-v	arb:exe	1	يقول لي جدي دائما إن الحياة قصيرة.
01754737-v	arb:exe	2	للأسف فترة قصيرة فقط.
01754737-v	arb:exe	3	يا جدتي، احكي لي قصة جديدة.
01754737-v	arb:exe	4	هل المقاص مناسب؟
01754737-v	arb:pron	قَصَّ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_107.mp3	
07447641-n	arb:lemma	حَفْلَةٌ
07447641-n	arb:exe	0	لولاك لكانت الحفلة مملة.
07447641-n	arb:exe	1	متى تبدأون الحفلة ؟ ... تبدأ بعد الدرس.
07447641-n	arb:exe	2	سنذهب إلى حفلة موسيقية يوم الثلاثاء من هذا الأسبوع إن شاء الله.
07447641-n	arb:exe	3	تعشينا في المطعم بعد أن انتهت الحفلة الموسيقيّة.
07447641-n	arb:exe	4	آه، سنقيم حفلة في بيتي الأسبوع القادم.
07447641-n	arb:exe	5	بعد أن تنتهي الحفلة الموسيقية سنذهب للعشاء.
07447641-n	arb:exe	6	سنقيم حفلة في بيتي الأسبوع القادم.
07447641-n	arb:exe	7	ما رأيك أن نذهب معاً إلى حفلة موسيقيّة؟
07447641-n	arb:exe	8	تعشينا في مطعم بعد أن انتهت الحفلة الموسيقية.
07447641-n	arb:exe	9	انتهت الحفلة في الساعة الرابعة صباحاً.
07447641-n	arb:exe	10	لم تكن حفلة أمس ممتعة جدّاً.‎
07447641-n	arb:exe	11	انتهت الحفلة في الساعة الرابعة صباحاً.
07447641-n	arb:exe	12	بالمناسبة، ما رأيك أن نذهب معاً إلى حفلة موسيقيّة؟
07447641-n	arb:exe	13	انتهت الحفلة في الساعة الرابعة صباحاً.
07447641-n	arb:exe	14	مساء السبت دعوت أصدقائي إلى بيتي وأقمنا حفلة.
07447641-n	arb:exe	15	انتهت الحفلة في الساعة الرابعة صباحاً.
07447641-n	arb:exe	16	بعد أن تنتهي الحفلة الموسيقيّة سنذهب للعشاء.
07447641-n	arb:exe	17	مساء السبت دعوت أصدقائي إلى بيتي وأقمنا حفلة.
07447641-n	arb:exe	18	انتهت الحفلة في الساعة الرابعة صباحاً.
07447641-n	arb:exe	19	انتهت الحفلة في الساعة الرابعة صباحاً.
07447641-n	arb:exe	20	سنقيم حفلة في بيتي الأسبوع القادم.
07447641-n	arb:pron	حَفْلَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_458.mp3	
01842204-v	arb:lemma	خَرَجَ
01842204-v	arb:exe	0	خرج الرجل من المحل مسرعا ولم يدفع الحساب.
01842204-v	arb:exe	1	تلبس بعض النساء عباءة سوداء فوق الملابس عند الخروج من البيوت.
01842204-v	arb:exe	2	في شهر أبريل نخرج لمشاهدة زهور الكرز.
01842204-v	arb:exe	3	للأسف الشديد أنا مشغول يومي يوم الخميس والأحد، لذلك لا أستطيع أن أخرج معك .
01842204-v	arb:exe	4	في الساعة السابعة والربع أخرج إلى عملي.
01842204-v	arb:exe	5	أين المخرج؟ ... المخرج من هنا على اليسار.
01842204-v	arb:exe	6	NGخرج الرجل من المحل مسرعا ولم يدفع الحساب
01842204-v	arb:exe	7	في الساعة السابعة والربع أخرج إلى عملي.
01842204-v	arb:exe	8	وضع الرجل يده في جيبه فأخرج قطعة من الحلوى.
01842204-v	arb:exe	9	فهل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟
01842204-v	arb:exe	10	هل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟ … نعم.
01842204-v	arb:exe	11	هل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟ … نعم.
01842204-v	arb:exe	12	اتّصلت بك أوّل أمس ولكن الخطّ كان خارج نطاق الخدمة.
01842204-v	arb:exe	13	المطار خارج المدينة.
01842204-v	arb:exe	14	إذا سافرت إلى الخارج فسوف تعرف أن العالم واسع جدا.
01842204-v	arb:pron	خَرَجَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_9.mp3	
04241394-n	arb:lemma	خف	خفاف،أخفاف__morph:pl
04241394-n	arb:exe	0	عندما تدخل غرفة "التاتامي" فعليك أن تخلع الخف وتتركه في الممر.
04241394-n	arb:count	خف	1
04241394-n	arb:pron	خف			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_306.mp3	
05301908-n	arb:lemma	فم	أفمام__morph:pl
05301908-n	arb:exe	0	اغسل يديك وفمك قبل الأكل وبعده.
05301908-n	arb:count	فم	1
05301908-n	arb:pron	فم			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_313.mp3	
02440250-n	arb:lemma	يَدٌ
02440250-n	arb:exe	0	مددت يدي ورجلي بعد أن هبطت الطائرة.
02440250-n	arb:exe	1	اغسل يديك وفمك قبل الأكل وبعده.
02440250-n	arb:exe	2	نَحْنُ ٱلْعَرَبَ يَدٌ وَاحِدٌ.
02440250-n	arb:exe	3	خرج الرجل من المحل مسرعا ولم يدفع الحساب.
02440250-n	arb:exe	4	بالمناسبة، كنت أريد أن أتّصل بالهاتف مع الدكتور سمير ليلة أمس.
02440250-n	arb:exe	5	كم الأجرة بالبريد البحريّ؟
02440250-n	arb:exe	6	متى عيد ميلادك؟ ... يوم الثالث والعشرين من شهر مايو.
02440250-n	arb:exe	7	عيد ميلادي الخامس عشر من شهر يوليو.
02440250-n	arb:exe	8	نعم، نريد كباباً وسمكاً، من فضلك.
02440250-n	arb:exe	9	أريد أن أصبح طبيبة.
02440250-n	arb:exe	10	تريد أن ترسله بالبريد البحريّ أم الجوّيّ؟
02440250-n	arb:exe	11	وأنا أريد طبق بطاطا.
02440250-n	arb:exe	12	نريد كباباً وسمكاً من فضلك.
02440250-n	arb:exe	13	سأقدّم لك هديّة جميلة في عيد ميلادك.
02440250-n	arb:exe	14	ولماذا تريد أن تصبح صحفيّاً؟
02440250-n	arb:exe	15	تريد أن ترسله بالبريد البحريّ أم الجوّيّ؟
02440250-n	arb:exe	16	أريد إرساله بالبريد السريع، من فضلك.
02440250-n	arb:exe	17	أريد إرساله بالبريد السريع، من فضلك.
02440250-n	arb:exe	18	أريد أن أصبح صحفيّاً.
02440250-n	arb:exe	19	أريد شوربة عدس.
02440250-n	arb:exe	20	إذاً، أريد الحجز من مساء اليوم لمدّة ثلاث ليال.
02440250-n	arb:exe	21	عيد ميلادي الخامس عشر من شهر يوليو.
02440250-n	arb:exe	22	آه، عندك التهاب شديد في الحلق.
02440250-n	arb:exe	23	وبعد الأكل نريد الشاي أو القهوة.
02440250-n	arb:exe	24	من فضلك، أريد إرسال هذا الطرد إلى اليابان.
02440250-n	arb:exe	25	تريد أن ترسله بالبريد البحريّ أم الجوّيّ؟
02440250-n	arb:exe	26	عيد ميلادي الخامس عشر من شهر يوليو.
02440250-n	arb:exe	27	أريد أن أشتري حاسوباً جديداً إذا كان رخيصاً.
02440250-n	arb:exe	28	أخبرني عمي أن عصير الليمون مفيد جدا لمعالجة البرد.
02440250-n	arb:exe	29	ثمّ نريد ورق عنب وسلطة خضار، من فضلك.
02440250-n	arb:exe	30	ولماذا تريد أن تصبح صحفيّاً؟
02440250-n	arb:exe	31	نريد كباباً وسمكاً من فضلك.
02440250-n	arb:exe	32	شعر خالي بألم شديد في معدته فذهب إلى المستشفى.
02440250-n	arb:exe	33	ماذا تريد أن تفعل بعد عودتك إلى اليابان؟
02440250-n	arb:exe	34	NGيجمع ابن خالي طوابع بريد نادرة من كل أنحاء العالم
02440250-n	arb:exe	35	ثمّ نريد ورق عنب وباباغنوج وسلطة خضار من فضلك.
02440250-n	arb:exe	36	ثمّ نريد ورق عنب وباباغنوج وسلطة خضار من فضلك.
02440250-n	arb:exe	37	ما باليد حيلة.
02440250-n	arb:exe	38	كنت أريد أن أتّصل بالهاتف مع الدكتور سمير ليلة أمس.‎
02440250-n	arb:exe	39	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
02440250-n	arb:exe	40	أريد شوربة عدس.
02440250-n	arb:exe	41	أريد إرساله بالبريد السريع، من فضلك.
02440250-n	arb:exe	42	NGخرج الرجل من المحل مسرعا ولم يدفع الحساب
02440250-n	arb:exe	43	هو يعيد كلامه كثيرا كالمسجل.
02440250-n	arb:exe	44	لا أريد أن أزعج أسرتك.‎
02440250-n	arb:exe	45	لأنّني أريد أن أساعد الآخرين.
02440250-n	arb:exe	46	عيد ميلاد سعيد، يا سعاد!
02440250-n	arb:exe	47	متى عيد ميلادك، يا تاكيشي؟
02440250-n	arb:exe	48	للأسف الشديد أنا مشغول يومي يوم الخميس والأحد، لذلك لا أستطيع أن أخرج معك .
02440250-n	arb:exe	49	أوّلاً نريد زجاجتي الماء المعدنيّ، لو سمحت.
02440250-n	arb:exe	50	ثمّ نريد ورق عنب وباباغنوج وسلطة خضار من فضلك.
02440250-n	arb:exe	51	نريد كباباً وسمكاً، من فضلك.
02440250-n	arb:exe	52	أريد استئجار شقّة بأرخص سعر ممكن.
02440250-n	arb:exe	53	بالبريد البحري، من فضلك.
02440250-n	arb:exe	54	وأنا أريد طبق بطاطا.
02440250-n	arb:exe	55	أنا سعيد جدّاً اليوم.
02440250-n	arb:exe	56	متى عيد ميلادك يا تاكيشي؟
02440250-n	arb:exe	57	أريد حجز طاولة لـ ٨ أشخاص.‎
02440250-n	arb:exe	58	متى عيد ميلادك يا تاكيشي.
02440250-n	arb:exe	59	أريد أن أصبح طبيبة.
02440250-n	arb:exe	60	أوّلاً نريد زجاجتي الماء المعدنيّ، لو سمحت.
02440250-n	arb:exe	61	هل تريد أن تلصقها على هذا الطلب؟
02440250-n	arb:exe	62	ثمّ نريد ورق عنب وباباغنّوج وسلطة خضار، من فضلك.
02440250-n	arb:exe	63	هل المُتحف بعيد عن هنا؟
02440250-n	arb:exe	64	ولكن لا أريد أن أزعج أسرتك.
02440250-n	arb:exe	65	في الحقيقة، أريد أن أصبح صحفيّاً.
02440250-n	arb:exe	66	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
02440250-n	arb:exe	67	ماذا تريد أن تفعل بعد عودتك إلى اليابان؟
02440250-n	arb:exe	68	يتغير جو المكتب تماما عندما يدخل مدير الشركة.
02440250-n	arb:exe	69	عيد ميلادي الخامس عشر من شهر يوليو.
02440250-n	arb:exe	70	في مكتب البريد المركزي شبابيك كثيرة.
02440250-n	arb:exe	71	ماذا تريد أن تفعل بعد عودتك إلى اليابان؟
02440250-n	arb:exe	72	أريد مساعدتك.
02440250-n	arb:exe	73	أريد حجز طاولة لـ ٨ أشخاص.‎
02440250-n	arb:exe	74	ثمّ نريد ورق عنب وسلطة خضار، من فضلك.
02440250-n	arb:exe	75	وبعد الأكل نريد شاياً أو قهوة.
02440250-n	arb:exe	76	لي صديق يابانيّ يدرس اللغة العربيّة.
02440250-n	arb:exe	77	آه، عندك التهاب شديد في الحلق.
02440250-n	arb:exe	78	أريد الحجز من مساء اليوم.
02440250-n	arb:exe	79	أنا أعرف أنّ وقتك ضيّق. ولكن أريد مساعدتك.
02440250-n	arb:exe	80	هل تريد حماما فيه حوض ومرش معا؟
02440250-n	arb:exe	81	أتريد تحويل نقودك من الدولار إلى الدينار؟
02440250-n	arb:exe	82	عيد ميلادي الخامس عشر من شهر يوليو.
02440250-n	arb:exe	83	أريد أن أشتري حاسوباً جديداً إذا كان رخيصاً.
02440250-n	arb:exe	84	أريد أن أنقل أخبار العالم العربي بموضوعيّة إلى الشعب اليابانيّ.
02440250-n	arb:exe	85	سأقضي عطلة العيد في بيت والديَّ.
02440250-n	arb:exe	86	أريد أن أحجز غرفة عندكم، لو سمحت.
02440250-n	arb:exe	87	فأريد أن أنقل أخبار العالم العربيّ بموضوعيّة إلى الشعب اليابانيّ.
02440250-n	arb:exe	88	لماذا تريد أن تصبح صحفيّاً؟
02440250-n	arb:exe	89	بتأكيد سأحضر محاضرة الأستاذ حسن في الأسبوع القادم إن شاء الله.
02440250-n	arb:exe	90	إذاً بالبريد البحريّ، من فضلك.
02440250-n	arb:exe	91	أوّلاً نريد زجاجتي الماء المعدنيّ، لو سمحت.
02440250-n	arb:exe	92	هل المتحف بعيد عن هنا؟
02440250-n	arb:exe	93	وبعد الأكل نريد شاياً أو قهوة.
02440250-n	arb:exe	94	تريد أن ترسله بالبريد البحريّ أم الجوّيّ؟
02440250-n	arb:exe	95	وأنا أريد طبق بطاطا.
02440250-n	arb:exe	96	أتريد تحويل نقودك من الدولار إلى الدينار؟
02440250-n	arb:exe	97	ما باليد حيلة.
02440250-n	arb:exe	98	اشربي الشاي بالعسل لأنّه مفيد للحلق.‎
02440250-n	arb:exe	99	أدرس، ندرس، تدرس، تدرسين، تدرسون، يدرس، تدرس، يدرسون
02440250-n	arb:exe	100	متى عيد ميلادك يا تاكيشي.
02440250-n	arb:exe	101	أوّلاً نريد زجاجتي الماء المعدنيّ، لو سمحت.
02440250-n	arb:count	يَدٌ	1
02440250-n	arb:pron	يَدٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_318.mp3	
09823502-n	arb:lemma	عمة	عمات__morph:pl
09823502-n	arb:exe	0	اشترت عمتي مسجلا جديدا.
09823502-n	arb:exe	1	أعطتني عمتي حلويات لذيذة.
09823502-n	arb:pron	عمة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_297.mp3	
09823502-n	arb:lemma	خَالَةٌ
09823502-n	arb:exe	0	زرت بيت خالتي ولم أجد فيه أحدا.
09823502-n	arb:pron	خَالَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_481.mp3	
10193967-n	arb:lemma	زوح	أزواج__morph:pl
10193967-n	arb:exe	0	زوجي موظف في السفارة اليابانية.
10193967-n	arb:exe	1	يقول المثل الياباني إن التشاجر بين الزوجين لا يأكله حتى الكلب.
10193967-n	arb:pron	زوح			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_446.mp3	
15213406-n	arb:lemma	نوفمبر
15213406-n	arb:exe	0	كل عام نقدم مسرحية باللغة العربية في مهرجان الجامعة الذي يقام في شهر نوفمبر.
15213406-n	arb:count	نوفمبر	1
15213406-n	arb:pron	نوفمبر			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_357.mp3	
15213406-n	arb:lemma	نُوفِمْبِرُ
15213406-n	arb:exe	0	أكتوبر، نوفمبر، دسمبر
15213406-n	arb:exe	1	كل عام نقدم مسرحية باللغة العربية في مهرجان الجامعة الذي يقام في شهر نوفمبر.
15213406-n	arb:exe	2	أكتوبر، نوفمبر، دسمبر
15213406-n	arb:pron	نُوفِمْبِرُ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_2370.mp3	
15213406-n	arb:lemma	تِشْرِينُ ٱلثَّانِي
15213406-n	arb:pron	تِشْرِينُ ٱلثَّانِي			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1024.mp3	
06277280-n	arb:lemma	تِلِفِزْيُونٌ
06277280-n	arb:exe	0	سينقل التلفزيون مباريات كأس العالم.
06277280-n	arb:pron	تِلِفِزْيُونٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_97.mp3	
13831176-n	arb:lemma	شَمَالٌ
13831176-n	arb:exe	0	تقع جزيرة هوكايدو في شمال اليابان.
13831176-n	arb:pron	شَمَالٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1583.mp3	
06964901-n	arb:lemma	اَلْعَرَبِيَّةُ
06964901-n	arb:exe	0	كيف نكتب بالعربية؟
06964901-n	arb:exe	1	دراسة اللغة العربية مفيدة لفهم أوضاع الشرق الأوسط.
06964901-n	arb:exe	2	كل عام نقدم مسرحية باللغة العربية في مهرجان الجامعة الذي يقام في شهر نوفمبر.
06964901-n	arb:exe	3	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	4	بدأت تعلّم العربية عام ١٩٩٥.
06964901-n	arb:exe	5	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	6	لأنّني مهتمّ بالثقافة العربية منذ زمن طويل.
06964901-n	arb:exe	7	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
06964901-n	arb:exe	8	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	9	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	10	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	11	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	12	كم ساعة تدرسين العربية كلّ يوم؟
06964901-n	arb:exe	13	هل معك قاموس عربي ياباني؟ ... لا، ليس معي الآن.
06964901-n	arb:exe	14	دخل الرجال مطعما عربيا فطلبوا كبابا.
06964901-n	arb:exe	15	هذه ثالث مرّة أكلت فيها طعاماً عربيّاً.
06964901-n	arb:exe	16	هذه ثالث مرّة أكلت فيها طعاماً عربيّاً.
06964901-n	arb:exe	17	يضيف العرب الهيل إلى القهوة.
06964901-n	arb:exe	18	هل أصبحتَ قادراً على قراءة جريدة عربيّة؟
06964901-n	arb:exe	19	هذه ثالث مرّة أكلت فيها طعاماً عربيّاً.
06964901-n	arb:exe	20	هذه ثالث مرّة أكلت طعاماً عربيّاً.
06964901-n	arb:exe	21	يقول بعض العرب "العلم في الرأس وليس في الكراس".
06964901-n	arb:pron	اَلْعَرَبِيَّةُ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_6.mp3	
01318741-a	arb:lemma	أَلَمٌ
01318741-a	arb:exe	0	شعرت بألم خفيف في رأسي فتناولت الدواء.
01318741-a	arb:exe	1	شعر خالي بألم شديد في معدته فذهب إلى المستشفى.
01318741-a	arb:exe	2	عندي ألم خفيف في المعدة.
01318741-a	arb:exe	3	أشعر بألم في بطني وعندي إسهال.
01318741-a	arb:exe	4	أشعر بألم شديد في الحلق.
01318741-a	arb:exe	5	أشعر بألم شديد في الحلق.
01318741-a	arb:exe	6	كثيرا ما أذهب إلى مكتب الأستاذ بعد المحاضرة لأسأله بعض الأسئلة.
01318741-a	arb:exe	7	إلى أين ذاهب؟ ... أنا ذاهب إلى المطار.
01318741-a	arb:exe	8	هذا الصباح، هذا المساء
01318741-a	arb:exe	9	هل المقاص مناسب؟
01318741-a	arb:exe	10	يقال إنّ المنتخب اليابانيّ أقوى من المنتخب المصريّ.
